Copyright 1986-2019 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2019.1 (lin64) Build 2552052 Fri May 24 14:47:09 MDT 2019
| Date         : Sat Mar 23 17:52:44 2024
| Host         : audacity running 64-bit Ubuntu 18.04.6 LTS
| Command      : report_utilization -hierarchical -file ./Impl/TopDown/top-post-place-util.txt
| Design       : mkPcieTop
| Device       : xcvu095ffva2104-2
| Design State : Fully Placed
-----------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+----------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+--------------+
|                                                       Instance                                                       |                                 Module                                | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP48 Blocks |
|               sync_vec[4].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_221 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_222 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_209 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_215 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_216 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_preset                                                                                              |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized0_210 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_211 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_212 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_213 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_214 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[5].phy_rxeq_i                                                                                     |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_15 |         17 |         17 |       0 |    0 |    39 |      0 |      0 |    0 |            0 |
|             (phy_lane[5].phy_rxeq_i)                                                                                 |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_15 |          8 |          8 |       0 |    0 |    33 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_182 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_206 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_207 |          8 |          8 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[5].phy_txeq_i                                                                                     |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_16 |         48 |         48 |       0 |    0 |    94 |      0 |      0 |    0 |            0 |
|             (phy_lane[5].phy_txeq_i)                                                                                 |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_16 |         36 |         36 |       0 |    0 |    58 |      0 |      0 |    0 |            0 |
|             sync_coeff                                                                                               |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized1_167 |          7 |          7 |       0 |    0 |    18 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_176 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_177 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_178 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_179 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_180 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_181 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_168 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_174 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_175 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_preset                                                                                              |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized0_169 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_170 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_171 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_172 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_173 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[6].phy_rxeq_i                                                                                     |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_17 |         17 |         17 |       0 |    0 |    39 |      0 |      0 |    0 |            0 |
|             (phy_lane[6].phy_rxeq_i)                                                                                 |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_17 |          8 |          8 |       0 |    0 |    33 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_141 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_165 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_166 |          8 |          8 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[6].phy_txeq_i                                                                                     |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_18 |         48 |         48 |       0 |    0 |    94 |      0 |      0 |    0 |            0 |
|             (phy_lane[6].phy_txeq_i)                                                                                 |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_18 |         36 |         36 |       0 |    0 |    58 |      0 |      0 |    0 |            0 |
|             sync_coeff                                                                                               |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized1_126 |          7 |          7 |       0 |    0 |    18 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_135 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_136 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_137 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_138 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_139 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_140 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_127 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_133 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_134 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_preset                                                                                              |     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized0_128 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_129 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_130 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_131 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_132 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[7].phy_rxeq_i                                                                                     |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_19 |         17 |         17 |       0 |    0 |    39 |      0 |      0 |    0 |            0 |
|             (phy_lane[7].phy_rxeq_i)                                                                                 |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_rxeq_19 |          8 |          8 |       0 |    0 |    33 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                     pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_101 |          9 |          9 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_124 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_125 |          8 |          8 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_lane[7].phy_txeq_i                                                                                     |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_20 |         48 |         48 |       0 |    0 |    94 |      0 |      0 |    0 |            0 |
|             (phy_lane[7].phy_txeq_i)                                                                                 |                      pcie3_ultrascale_0pcie3_ultrascale_0_phy_txeq_20 |         36 |         36 |       0 |    0 |    58 |      0 |      0 |    0 |            0 |
|             sync_coeff                                                                                               |         pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized1 |          7 |          7 |       0 |    0 |    18 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_95 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_96 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_97 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_98 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_99 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                |                pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_100 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_ctrl                                                                                                |                         pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_93 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_94 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|             sync_preset                                                                                              |         pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized0 |          0 |          0 |       0 |    0 |    12 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                |                    pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_90 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_91 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                |                 pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell_92 |          0 |          0 |       0 |    0 |     3 |      0 |      0 |    0 |            0 |
|           phy_rst_i                                                                                                  |                          pcie3_ultrascale_0pcie3_ultrascale_0_phy_rst |         44 |         40 |       0 |    4 |   225 |      0 |      0 |    0 |            0 |
|             (phy_rst_i)                                                                                              |                          pcie3_ultrascale_0pcie3_ultrascale_0_phy_rst |         23 |         19 |       0 |    4 |    45 |      0 |      0 |    0 |            0 |
|             sync_cplllock                                                                                            |         pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized3 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_82 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|             sync_gtpowergood                                                                                         |      pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized3_21 |          4 |          4 |       0 |    0 |    32 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_74 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_75 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_76 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_77 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_78 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_79 |          3 |          3 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[6].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_80 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[7].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_81 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|             sync_phystatus                                                                                           |      pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized3_22 |          3 |          3 |       0 |    0 |    32 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_66 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_67 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_68 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_69 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_70 |          2 |          2 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_71 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[6].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_72 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[7].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_73 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|             sync_prst_n                                                                                              |      pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized5_23 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_65 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|             sync_qpll1lock                                                                                           |      pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized4_24 |          2 |          2 |       0 |    0 |     8 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_61 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_62 |          2 |          2 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|             sync_rxresetdone                                                                                         |      pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized3_25 |          2 |          2 |       0 |    0 |    32 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_53 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_54 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_55 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_56 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_57 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_58 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[6].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_59 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[7].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_60 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|             sync_txprogdivresetdone                                                                                  |      pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized3_26 |          2 |          2 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_45 |          2 |          2 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|             sync_txresetdone                                                                                         |      pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized3_27 |          3 |          3 |       0 |    0 |    32 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_37 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_38 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_39 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_40 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_41 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_42 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[6].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_43 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[7].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_44 |          2 |          2 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|             sync_txsync_done                                                                                         |      pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync__parameterized3_28 |          4 |          4 |       0 |    0 |    32 |      0 |      0 |    0 |            0 |
|               sync_vec[0].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_29 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[1].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_30 |          1 |          1 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[2].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_31 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[3].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_32 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[4].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_33 |          3 |          3 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[5].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_34 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[6].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_35 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|               sync_vec[7].sync_cell_i                                                                                | pcie3_ultrascale_0pcie3_ultrascale_0_phy_sync_cell__parameterized0_36 |          0 |          0 |       0 |    0 |     4 |      0 |      0 |    0 |            0 |
|         pcie3_uscale_top_inst                                                                                        |                 pcie3_ultrascale_0pcie3_ultrascale_0_pcie3_uscale_top |         26 |         26 |       0 |    0 |   994 |      3 |     12 |    0 |            0 |
|           init_ctrl_inst                                                                                             |                        pcie3_ultrascale_0pcie3_ultrascale_0_init_ctrl |          6 |          6 |       0 |    0 |     8 |      0 |      0 |    0 |            0 |
|           pcie3_uscale_wrapper_inst                                                                                  |             pcie3_ultrascale_0pcie3_ultrascale_0_pcie3_uscale_wrapper |          3 |          3 |       0 |    0 |     0 |      2 |     12 |    0 |            0 |
|             (pcie3_uscale_wrapper_inst)                                                                              |             pcie3_ultrascale_0pcie3_ultrascale_0_pcie3_uscale_wrapper |          3 |          3 |       0 |    0 |     0 |      0 |      0 |    0 |            0 |
|             bram_inst                                                                                                |                             pcie3_ultrascale_0pcie3_ultrascale_0_bram |          0 |          0 |       0 |    0 |     0 |      2 |     12 |    0 |            0 |
